Country	Species	KippsIndex	BillLength	BillWidth	Bodymass
Argentina	Arremon_flavirostris	0.11	14.0	8.9	25.6
Argentina	Atlapetes_citrinellus	0.13	12.7	9.0	28.1
Argentina	Carduelis_magellanica	0.30	10.0	5.1	11.4
Argentina	Catharus_ustulatus	0.33	18.2	11.1	31.4
Argentina	Chlorospingus_ophthalmicus	0.19	12.8	9.0	16.5
Argentina	Cyanocorax_chrysops	0.10	35.6	19.5	141.8
Argentina	Elaenia_albiceps	0.24	13.4	9.2	16.3
Argentina	Elaenia_obscura	0.19	16.1	12.5	26.3
Argentina	Elaenia_parvirostris	0.22	15.1	10.0	14.9
Argentina	Elaenia_spectabilis	0.21	16.6	11.6	29.1
Argentina	Euphonia_chlorotica	0.27	9.4	7.2	11.2
Argentina	Euphonia_cyanocephala	0.32	9.1	7.5	16.3
Argentina	Pachyramphus_validus	0.25	25.3	16.4	40
Argentina	Parula_pitiayumi	0.19	12.8	6.2	7
Argentina	Penelope_obscura	0.13	43.2	23.0	1080
Argentina	Pheucticus_aureoventris	0.25	20.6	14.2	53.9
Argentina	Phylloscartes_ventralis	0.17	13.3	6.6	6.8
Argentina	Pipraeidea_melanonota	0.29	12.6	9.3	21
Argentina	Piranga_flava	0.23	18.2	11.7	37.8
Argentina	Poospiza_erythrophrys	0.14	11.0	8.0	14
Argentina	Syndactyla_rufosuperciliata	0.16	23.8	9.9	26.5
Argentina	Thraupis_sayaca	0.25	15.5	10.2	30.7
Argentina	Turdus_nigriceps	0.24	25.6	13.5	51.1
Argentina	Turdus_rufiventris	0.20	29.5	13.7	66.2
Bolivia	Anisognathus_igniventris	0.16	15.6	10.6	34
Bolivia	Anisognathus_somptuosus	0.18	17.6	10.2	44
Bolivia	Aratinga_mitrata	0.43	25.0	17.6	249
Bolivia	Atlapetes_rufinucha	0.10	14.9	8.7	21.54
Bolivia	Aulacorhynchus_coeruleicinctis	0.11	80.3	26.9	208
Bolivia	Catharus_ustulatus	0.32	19.8	9.5	30.3
Bolivia	Chiroxiphia_boliviana	0.16	14.6	9.2	17.13
Bolivia	Chlorophonia_cyanea	0.28	10.2	6.5	14
Bolivia	Chlorospingus_ophthalmicus	0.16	14.1	7.7	19.98
Bolivia	Cyanocorax_cyanomelas	0.15	37.8	19.1	207
Bolivia	Cyanocorax_yncas	0.08	29.7	15.1	78.5
Bolivia	Diglossa_cyanea	0.17	17.3	7.2	17.04
Bolivia	Elaenia_obscura	0.18	16.3	10.5	23.9
Bolivia	Elaenia_pallatangae	0.21	13.1	7.1	17.8
Bolivia	Empidonomus_varius	0.28	20.0	10.9	27.1
Bolivia	Entomodestes_leucotis	0.21	23.9	12.9	61.7
Bolivia	Eubucco_versicolor	0.14	25.1	12.6	32.8
Bolivia	Euphonia_xanthogaster	0.22	11.7	7.4	13
Bolivia	Hapalopsittaca_melanotis	0.39	18.1	11.8	158
Bolivia	Lipaugus_uropygialis	0.10	34.1	19.6	116
Bolivia	Mionectes_striaticollis	0.22	14.3	7.6	15
Bolivia	Myioborus_miniatus	0.16	12.9	6.0	9
Bolivia	Parula_pitiayumi	0.20	12.3	5.1	6.82
Bolivia	Patagioenas_fasciata	0.36	27.1	11.0	366.3
Bolivia	Patagioenas_plumbea	0.35	22.7	8.1	178.77
Bolivia	Penelope_montagnii	0.19	34.3	17.5	706
Bolivia	Pheucticus_aureoventris	0.22	21.1	13.5	49
Bolivia	Phyllomyias_sclateri	0.22	11.6	7.5	9.2
Bolivia	Phyllomyias_uropygialis	0.17	11.4	6.3	8.99
Bolivia	Pionus_sordidus	0.35	22.7	16.3	266
Bolivia	Pionus_tumultuosus	0.34	22.3	15.2	239
Bolivia	Pipreola_frontalis	0.19	17.6	13.4	42.4
Bolivia	Pipreola_intermedia	0.17	20.9	13.5	51.18
Bolivia	Psarocolius_decumanus	0.28	48.5	17.7	206.3
Bolivia	Pyrrhura_molinae	0.38	16.4	11.3	77.09
Bolivia	Rupicola_peruvianus	0.12	31.9	20.9	242.5
Bolivia	Tangara_argyrofenges	0.26	12.7	8.1	19
Bolivia	Tangara_vassorii	0.23	12.8	8.0	18
Bolivia	Tangara_xanthocephala	0.22	12.8	7.3	19
Bolivia	Thraupis_cyanocephala	0.16	16.9	10.7	36
Bolivia	Thraupis_palmarum	0.22	18.5	9.6	39
Bolivia	Thraupis_sayaca	0.25	16.3	9.8	32.49
Bolivia	Trogon_personatus	0.37	21.2	16.0	63.39
Bolivia	Turdus_albicollis	0.21	26.7	11.0	54
Bolivia	Turdus_serranus	0.21	30.7	13.3	84.9
Bolivia	Veniliornis_nigriceps	0.17	25.8	9.6	43.96
Colombia	Aburria_aburri	0.34	38.8	18.1	1513.625
Colombia	Andigena_hypoglauca	0.27	91.7	33.0	287
Colombia	Andigena_nigrirostris	0.23	88.6	33.5	350
Colombia	Anisognathus_lacrymosus	0.28	12.4	9.8	36.75
Colombia	Anisognathus_somptuosus	0.17	16.3	9.8	47.36666667
Colombia	Arremon_brunneinucha	0.09	13.9	8.3	42.875
Colombia	Atlapetes_schistaceus	0.08	12.2	6.8	25.3
Colombia	Aulacorhynchus_haematopygus	0.46	86.3	32.2	217.5
Colombia	Aulacorhynchus_prasinus	0.19	75.7	26.7	193.25
Colombia	Buthraupis_montana	0.20	21.8	13.2	96
Colombia	Cacicus_chrysonotus	0.15	25.8	10.7	106
Colombia	Catharus_ustulatus	0.32	19.8	9.5	30.3
Colombia	Chamaepetes_goudotii	0.31	37.3	17.8	800
Colombia	Chlorochrysa_nitidissima	0.08	11.5	5.9	16.16666667
Colombia	Chlorophonia_cyanea	0.28	10.2	6.5	14
Colombia	Chlorornis_riefferii	0.16	19.7	12.0	53
Colombia	Chlorospingus_canigularis	0.17	11.4	7.3	18.35
Colombia	Chlorospingus_ophthalmicus	0.16	14.1	7.7	18.95
Colombia	Cnemoscopus_rubrirostris	0.12	13.8	7.5	18.75
