Country	Species	meanL	meanD1	meanHeight	CropMass
Argentina	Aechmea_distichantha	10.2	8.8	6.8	102.1
Argentina	Allophylus_edulis	7.7	8.0	8.6	164.0
Argentina	Blepharocalyx_salicifolius	7.9	7.6	25.1	1056.7
Argentina	Celtis_iguanaea	12.0	13.5	11.6	93.1
Argentina	Cestrum_lorentzianum	11.4	7.3	2.9	31.8
Argentina	Cestrum_strigillatum	11.0	6.9	3.0	29.3
Argentina	Chamissoa_altissima	3.8	3.5	5.5	172.5
Argentina	Cissus_striata	7.7	8.3	11.9	84.4
Argentina	Cupania_vernalis	14.5	9.2	14.9	803.3
Argentina	Duranta_serratifolia	12.0	10.5	7.3	4711.6
Argentina	Eugenia_uniflora	9.8	12.9	8.7	123.4
Argentina	Hoffmannia_australis	6.7	7.4	1.2	18.4
Argentina	Lepismium_lumbricoides	7.2	9.5	10.7	26.4
Argentina	Morus_alba	22.4	14.4	9.5	1418.9
Argentina	Myrcianthes_pungens	16.3	16.9	10.3	551.2
Argentina	Myrsine_laetevirens	5.3	5.6	15.1	1039.3
Argentina	Ocotea_porphyria	17.0	11.3	20.9	515.0
Argentina	Phoradendron_spp	5.1	5.5	13.0	127.7
Argentina	Piper_hieronymi	104.6	6.3	3.2	243.8
Argentina	Piper_tucumanum	84.1	8.6	7.8	167.5
Argentina	Psychotria_carthagenensis	6.3	6.6	2.5	67.5
Argentina	Rhipsalis_floccosa	7.1	6.5	9.8	23.8
Argentina	Smilax_campestris	7.7	8.3	6.3	61.8
Argentina	Solanum_riparium	10.7	11.0	7.9	210.3
Argentina	Urera_baccifera	6.0	6.9	4.6	205.8
Argentina	Urera_caracasana	7.1	12.3	8.4	3903.1
Argentina	Zanthoxylum_coco	5.1	3.9	15.0	101.7
Bolivia	Alchornea_triplinervia	9.6	12.3	14.7	5879.8
Bolivia	Beilschmiedia_tovarensis	34.8	18.7	15.0	118.7
Bolivia	Ceroxylon_pityrophyllum	19.1	17.6	15.0	10063.4
Bolivia	Clusia_lechleri	21.0	19.1	15.0	19448.0
Bolivia	Clusia_sphaerocarpa	25.4	21.5	15.0	21441.2
Bolivia	Clusia_trochiformis	12.2	9.0	6.8	10027.8
Bolivia	Coussarea_sp	11.2	9.1	10.0	1002.7
Bolivia	Dendrophthora_macbridei	2.9	4.5	3.1	0.3
Bolivia	Eugenia_sp	12.8	10.6	10.0	1019.2
Bolivia	Ficus_americana	5.3	8.2	15.0	13248.3
Bolivia	Freziera_lanata	4.8	4.5	5.0	945.6
Bolivia	Guatteria_glauca	9.8	7.2	7.3	5771.2
Bolivia	Hedyosmun_angustifolium	5.8	5.8	4.9	66.3
Bolivia	Hedyosmun_racemosum	10.2	7.7	5.3	3496.4
Bolivia	Hesperomeles_ferruginea	6.7	8.1	3.6	586.4
Bolivia	Hieronyma_alchorneoides	6.9	6.9	10.0	1711.8
Bolivia	Hieronyma_moritziana	4.3	4.2	10.0	426.6
Bolivia	Inga_fendleriana	92.0	27.3	20.0	4848.4
Bolivia	Leandra_carassana	4.5	4.1	0.6	14.2
Bolivia	Lepismium_bolivianum	6.1	2.4	0.4	6.0
Bolivia	Miconia_boliviensis	4.6	4.5	5.0	357.6
Bolivia	Miconia_brittonii	3.9	4.0	5.0	2543.7
Bolivia	Miconia_cordata	4.3	4.5	5.0	2414.1
Bolivia	Miconia_hygrophila	4.1	4.8	4.2	552.2
Bolivia	Miconia_plumifera	3.7	4.7	1.0	215.5
Bolivia	Mollinedia_steinbachiana	8.7	6.5	10.0	2555.0
Bolivia	Myrsine_coriaceae	5.5	6.1	2.5	968.1
Bolivia	Palicourea_attenuata	5.4	6.9	1.0	20.8
Bolivia	Persea_bilocularis	6.9	6.7	10.0	589.8
Bolivia	Prumnopitys_sp	10.0	9.4	20.0	23169.7
Bolivia	Psychotria_carthagenensis	5.9	6.4	5.0	423.0
Bolivia	Sapium_sp	8.6	11.1	10.0	2919.2
Bolivia	Symplocos_arechea	18.3	10.9	9.8	34842.6
Bolivia	Symplocos_colorata	8.2	8.1	10.0	2157.0
Bolivia	Thibaudia_crenulata	6.8	8.5	3.1	87.6
Bolivia	Viburnum_seemenii	6.9	6.5	5.4	1225.0
Colombia	Alchornea_grandiflora	9.5	10.7	18.4	4286.2
Colombia	Antidaphne_viscoidea	4.8	4.6	10.0	2.2
Colombia	Cayaponia_buraeavii	16.6	14.2	20.0	235.6
Colombia	Cecropia_telealba	210.0	21.6	25.0	35667.5
Colombia	Ceroxylon_alpinum	17.3	17.3	35.0	19802.5
Colombia	Cestrum_humboldtii	5.8	5.0	2.0	362.5
Colombia	Cestrum_racemosum	5.7	5.1	7.5	449.4
Colombia	Chrysochlamys_colombiana	12.4	5.5	12.0	5857.8
Colombia	Cissus_cyssioides	8.3	8.5	11.0	75.6
Colombia	Cladocolea_archeri	5.8	4.2	2.0	48.3
Colombia	Clarisia_biflora	21.6	21.8	24.0	1005.6
Colombia	Clusia_alata	14.8	5.5	15.0	34.2
Colombia	Cordia_cylindrostachya	8.0	9.0	10.0	34.7
Colombia	Cordia_trianae	9.6	6.7	20.0	554.3
Colombia	Cuatresia_riparia	12.1	12.9	4.0	297.9
Colombia	Dendropanax_macrophylum	8.8	11.2	21.0	6758.1
Colombia	Dendrophthora	4.8	4.0	6.0	0.7
Colombia	Freziera_bonplandiana	8.5	7.2	18.0	459.8
Colombia	Geonoma_undata	8.9	7.1	8.5	2586.9
Colombia	Guettarda_crispiflora	9.2	7.6	13.0	131.9
Colombia	Hyeronima_scabrida	5.6	4.7	16.6	114.5
Colombia	Miconia_acuminifera	8.9	9.6	5.5	109.2
Colombia	Miconia_aggregata	7.1	6.6	3.5	49.3
Colombia	Miconia_caudata	4.4	5.4	6.8	27.5
Colombia	Miconia_lonchophylla	4.1	4.7	8.0	32.6
Colombia	Miconia_orescia	5.3	5.8	3.5	206.1
Colombia	Miconia_resima	4.6	5.2	5.0	49.7
Colombia	Miconia_sp1	4.0	4.6	11.0	20.4
Colombia	Myrsine_coriacea	4.7	3.5	8.7	3675.7
Colombia	Nectandra_lineatifolia	18.3	12.7	20.0	315.2
Colombia	Oreopanax_caricifolium	4.6	4.5	9.6	2811.8
Colombia	Oreopanax_floribundum	7.3	6.7	14.8	214.7
Colombia	Palicourea_acetosoides	5.5	5.8	5.3	37.8
Colombia	Palicourea_angustifolia	10.8	13.3	5.5	335.2
Colombia	Palicourea_ovalis	9.4	11.2	5.7	152.3
Colombia	Passiflora_alnifolia	14.6	15.0	10.0	537.1
Colombia	Psychotria_sp	6.3	5.9	6.0	10.5
Colombia	Rubus_glaucus	11.9	11.5	0.5	16.8
Colombia	Santalum_sp	5.5	4.1	15.0	0.5
Colombia	Siparuna_laurifolia	6.5	4.6	6.0	1.7
Colombia	Smilax_spinosa	12.2	15.1	30.0	212.3
Colombia	Solanum_colombianum	16.9	17.2	18.0	1870.6
Colombia	Thibaudia_floribundia	6.7	7.9	11.0	5069.3
Colombia	Tournefortia_fuliginosa	6.2	7.1	8.0	264.7
Colombia	Tovomita_guianensis	5.6	5.2	35.0	1.9
Ecuador	Alchornea_100	6.1	7.1	8.0	225.1
Ecuador	Cecropia_101	240.0	16.5	20.0	100.0
Ecuador	Cecropia_andina	180.0	8.0	16.0	77.0
