	Arremon_flavirostris	Atlapetes_citrinellus	Carduelis_magellanica	Catharus_ustulatus	Chlorospingus_ophthalmicus	Cyanocorax_chrysops	Elaenia_albiceps	Elaenia_obscura	Elaenia_parvirostris	Elaenia_spectabilis	Euphonia_chlorotica	Euphonia_cyanocephala	Pachyramphus_validus	Parula_pitiayumi	Penelope_obscura	Pheucticus_aureoventris	Phylloscartes_ventralis	Pipraeidea_melanonota	Piranga_flava	Poospiza_erythrophrys	Syndactyla_rufosuperciliata	Thraupis_sayaca	Turdus_nigriceps	Turdus_rufiventris	Vireo olivaceus
Aechmea_distichantha	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	28	0	2	0
Allophylus_edulis	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blepharocalyx_salicifolius	0	0	0	0	10	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	17	2	7	0
Celtis_iguanaea	0	1	0	0	8	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	2	27	0
Cestrum_lorentzianum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cestrum_strigillatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Chamissoa_altissima	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	1	5	0	0	0
Cissus_striata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0
Cupania_vernalis	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	6	5
Duranta_serratifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0
Eugenia_uniflora	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	26	0
Hoffmannia_australis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Lepismium_lumbricoides	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morus_alba	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Myrcianthes_pungens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Myrsine_laetevirens	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	14	0
Ocotea_porphyria	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	12	0
Phoradendron_spp	0	0	2	4	46	0	0	0	2	0	34	66	0	21	0	0	0	1	2	0	0	159	2	27	0
Piper_hieronymi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Piper_tucumanum	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	5	0
Psychotria_carthagenensis	9	22	0	7	56	0	2	3	0	0	0	2	0	1	0	0	0	0	0	3	0	74	22	326	0
Rhipsalis_floccosa	0	1	3	0	13	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	19	0	0	0
Smilax_campestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Solanum_riparium	0	0	0	0	6	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	42	2	43	1
Urera_baccifera	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	0
Urera_caracasana	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
Zanthoxylum_coco	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
