	Anisognathus_igniventris	Anisognathus_somptuosus	Aratinga_mitrata	Atlapetes_rufinucha	Aulacorhynchus_coeruleicintis	Catharus_ustulatus	Chiroxiphia_boliviana	Chlorophonia_cyanea	Chlorospingus_ophthalmicus	Cyanocoras_cyanomelas	Cyanocorax_yncas	Diglossa_cyanea	Elaenia_obscura	Elaenia_pallatangae	Entomodestes_leucotis	Eubucco_versicolor	Euphonia_xanthogaster	Hapalopsittaca_melanotis	Lipaugus_uropygialis	Mionectes_striaticollis	Parula_pitiayumi	Patagioenas_fasciata	Patagioenas_plumbea	Penelope_montagnii	Pheucticus_aureoventris	Phyllomyias_uropygialis	Pionus_sordidus	Pionus_tumultuosus	Pipreola_frontalis	Pipreola_intermedia	Psarocolius_decumanus	Pyrrhura_molinae	Tangara_vassorii	Tangara_xantocephala	Thraupis_cyanocephala	Thraupis_palmarum	Thraupis_sayaca	Trogon_personatus	Turdus_albicollis	Turdus_serranus	Veniliornis_nigriceps
Alchornea_triplinervia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Beilschmiedia_tovarensis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clusia_lechleri	1	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
Clusia_sphaerocarpa	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
Clusia_trochiformis	0	13	0	0	0	20	3	0	3	0	0	0	0	1	0	19	2	0	0	38	0	0	0	0	0	0	0	0	0	0	0	45	3	20	1	0	0	0	0	0	0
Dendrophthora_macbridei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
Eugenia_sp	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0
Ficus_americana	0	2	0	0	5	7	5	9	6	0	0	0	0	0	0	1	9	0	0	0	0	0	4	2	0	0	41	0	1	6	1	12	4	20	0	0	1	0	2	0	0
Freziera_lanata	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Guatteria_glauca	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hedyosmun_angustifolium	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hieronyma_alchorneoides	0	2	0	0	1	0	3	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	2	0	0	0	0	0	0
Hieronyma_moritziana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0
Inga_fendleriana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Leandra_carassana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Lepismium_bolivianum	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_boliviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
Miconia_brittonii	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Miconia_cordata 	0	11	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0
Miconia_hygrophila	0	2	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Miconia_plumifera	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mollinedia_steinbachiana	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myrsine_coriaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Palicourea_attenuata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Persea_bilocularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
