	Anisognathus_somptuosus	Aratinga_mitrata	Aulacorhynchus_coeruleicinctis	Chiroxiphia_boliviana	Chlorospingus_ophthalmicus	Diglossa_cyanea	Empidonomus_varius	Eubucco_versicolor	Lipaugus_uropygialis	Mionectes_striaticollis	Myioborus_miniatus	Penelope_montagnii	Pheucticus_aureoventris	Phyllomyias_sclateri	Pipreola_frontalis	Pyrrhura_molinae	Rupicola_peruvianus	Tangara_argyrofenges	Tangara_vassorii	Tangara_xanthocephala	Thraupis_cyanocephala	Turdus_albicollis
Alchornea_triplinervia	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0
Ceroxylon_pityrophyllum	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clusia_lechleri	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Clusia_sphaerocarpa	0	0	0	2	3	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Clusia_trochiformis	4	0	0	28	4	0	0	0	0	4	1	0	0	15	0	0	0	1	0	0	0	0
Coussarea_sp	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Eugenia_sp	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
Guatteria_terminalis	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hedyosmum_angustifolium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hesperomeles_ferruginea	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hieronyma_alchorneoides	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hieronyma_moritziana	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Miconia_cordata	14	0	0	9	4	0	0	0	0	0	0	1	0	0	0	6	0	0	19	0	1	0
Myrsine_coriacea	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychotria_carthagenensis	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sapium_sp	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	47	0	0	0	0	0	0
Symplocos_arechea	0	10	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0
Symplocos_colorata	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
