	Aburria_aburri	Anisognathus_somptuosus	Aulacorhynchus_haematopygus	Aulacorhynchus_prasinus	Catharus_ustulatus	Chamaepetes_goudotii	Chlorochrysa_nitidissima	Chlorophonia_cyanea	Chlorospingus_canigularis	Chlorospingus_ophthalmicus	Cranioleuca_erythrops	Dendroica_fusca	Diglossa_caerulescens	Diglossa_cyanea	Eubucco_bourcierii	Euphonia_xanthogaster	Masius_chrysopterus	Mionectes_striaticollis	Momotus_aequatorialis	Myadestes_ralloides	Pachyramphus_polychopterus	Patagioenas_cayennensis	Penelope_perspicax	Pharomachrus_auriceps	Pheucticus_ludovicianus	Phyllomyias_plumbeiceps	Pipraeidea_melanonota	Piranga_flava	Piranga_leucoptera	Piranga_rubra	Phylloscartes_ophthalmicus	Pyroderus_scutatus	Rupicola_peruvianus	Tangara_arthus	Tangara_heinei	Tangara_labradorides	Tangara_nigroviridis	Tangara_vitriolina	Tangara_xanthocephala	Trogon_collaris	Trogon_personatus	Turdus_ignobilis	Turdus_serranus	Vireo_leucophrys	Zimmerius_viridiflavus
Alchornea_grandiflora	1	3	4	11	7	0	1	0	18	0	1	6	0	0	1	0	1	0	0	0	0	3	27	0	1	0	0	3	7	4	0	2	2	4	8	6	0	0	1	7	0	0	8	2	0
Cecropia_telealba	0	33	2	7	0	0	0	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	31	0	0	0	0	0	2	0	0	10	0	5	1	5	0	1	1	0	0	0	0	0	0
Ceroxylon_alpinum	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chrysochlamys_colombiana	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0
Clarisia_biflora	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cordia_trianae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cuatresia_riparia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendropanax_macrophylum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendrophthora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geonoma_undata	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Hyeronima_scabrida	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_acuminifera	0	0	2	0	2	0	1	0	4	2	0	0	0	0	0	0	0	0	2	3	0	0	7	0	0	1	0	0	0	0	0	16	2	0	6	2	0	0	0	0	0	0	2	0	0
Miconia_caudata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0
Miconia_resima	0	9	0	0	3	1	0	2	1	0	0	6	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0
Nectandra_lineatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Oreopanax_floribundum	0	0	1	29	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	1	3	0	0
Palicourea_acetosoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palicourea_angustifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Palicourea_ovalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Santalum_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Smilax_spinosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tovomita_guianensis	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
