	Andigena_hypoglauca	Andigena_nigrirostris	Anisognathus_lacrymosus	Anisognathus_somptuosus	Atlapetes_schistaceus	Aulacorhynchus_prasinus	Arremon_brunneinucha	Buthraupis_montana	Cacicus_chrysonotus	Wilsonia_canadensis	Chamaepetes_goudotii	Chlorornis_riefferii	Chlorospingus_ophthalmicus	Cnemoscopus_rubrirostris	Patagioenas_subvinacea	Conirostrum_albifrons	Dendroica_fusca	Diglossa_caerulescens	Diglossa_cyanea	Euphonia_xanthogaster	Leptopogon_rufipectus	Lipaugus_fuscocinereus	Mecocerculus_poecilocercus	Mionectes_striaticollis	Pachyramphus_polychopterus	Pachyramphus_versicolor	Penelope_montagnii	Phyllomyias_nigrocapillus	Pipraeidea_melanonota	Pipreola_riefferii	Poecilotriccus_ruficeps	Tangara_heinei	Tangara_labradorides	Tangara_nigroviridis	Tangara_vassorii	Tangara_xanthocephala	Thraupis_cyanocephala	Trogon_personatus	Turdus_serranus
Antidaphne_viscoidea	0	0	0	4	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cayaponia_buraeavii	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cestrum_humboldtii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
Cestrum_racemosum	0	0	0	3	0	0	0	0	0	0	6	0	19	0	1	0	0	0	3	0	0	0	3	2	0	0	2	0	0	0	0	1	0	6	0	0	0	0	6
Cissus_cyssioides	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cladocolea_archeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Clusia_alata	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cordia_cylindrostachya	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Freziera_bonplandiana	0	0	0	3	0	1	0	6	0	0	0	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geonoma_undata	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guettarda_crispiflora	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Hyeronima_scabrida	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
Miconia_aggregata	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_lonchophylla	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	4	0	13	0	7	0	0	0
Miconia_orescia	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_sp1	0	0	11	8	0	0	0	27	3	0	0	0	0	3	0	46	0	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	11	84	0	3	0	0
Myrsine_coriacea	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	5
Oreopanax_caricifolium	1	0	0	5	0	3	0	0	0	1	8	0	2	0	0	0	3	0	1	0	0	0	0	5	0	0	0	2	0	0	0	0	8	6	0	10	2	0	25
Palicourea_angustifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
Passiflora_alnifolia	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychotria_sp	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubus_glaucus	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siparuna_laurifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Solanum_colombianum	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thibaudia_floribundia	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	4	2	0	2
Tournefortia_fuliginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0
