	Cacicus_uropygialis	Catharus_ustulatus	Chamaepetes_goudotii	Chlorochrysa_calliparaea	Chlorophanes_spiza	Chlorospingus_canigularis	Chlorospingus_flavigularis	Coereba_flaveola	Dacnis_cayana	Dacnis_lineata	Eubucco_bourcierii	Euphonia_laniirostris	Euphonia_xanthogaster	Hemispingus_frontalis	Hemispingus_superciliaris	Heterospingus_xanthopygius	Iridophanes_pulcherrimus	Lepidothrix_isidorei	Leptopogon_superciliaris	Machaeropterus_regulus	Myadestes_ralloides	Myiarchus_cephalotes	Parula_pitiayumi	Patagioenas_subvinacea	Pionus_menstruus	Pipra_erythrocephala	Pipra_pipra	Pipreola_frontalis	Psarocolius_angustifrons	Pyrrhura_albipectus	Rupicola_peruvianus	Saltator_grossus	Saltator_maximus	Tachyphonus_cristatus	Tangara_arthus	Tangara_chilensis	Tangara_chrysotis	Tangara_cyanicollis	Tangara_gyrola	Tangara_nigrocincta	Tangara_nigroviridis	Tangara_punctata	Tangara_schrankii	Tangara_xanthocephala	Tangara_xanthogastra	Thraupis_episcopus	Thraupis_palmarum	Turdus_albicollis	Turdus_fulviventris	Turdus_leucops	Turdus_nigriceps
Alchornea_100	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	4	3	0	0	0	0	0	0	0	0
Guettarda_101	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecropia_101	1	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	1	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0
Dacryodes_100	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Indet_100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indet_101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indet_102	0	0	0	3	0	0	0	0	2	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	29	0	0	0	25	20	0	3	0	0	0	0	0	0
Indet_103	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	1	0	0	0	0	8	0
Indet_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loranthaceae_100	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
