	Anisognathus_lacrymosus	Anisognathus_somptuosus	Atlapetes_latinuchus	Aulacorhynchus_prasinus	Basileuterus_tristriatus	Catharus_ustulatus	Chamaepetes_goudotii	Chlorospingus_ophthalmicus	Creurgops_verticalis	Cyanocorax_yncas	Diglossa_albilatera	Diglossa_cyanea	Elaenia_albiceps	Hemispingus_frontalis	Iridosornis_analis	Lepidocolaptes_lacrymiger	Mionectes_striaticollis	Myadestes_ralloides	Myioborus_miniatus	Patagioenas_fasciata	Penelope_barbata	Pipraeidea_melanonota	Pipreola_riefferii	Rupicola_peruvianus	Tachyphonus_rufus	Tangara_labradorides	Tangara_nigroviridis	Tangara_parzudakii	Tangara_vassorii	Tangara_viridicollis	Tangara_xanthocephala	Thraupis_cyanocephala	Thraupis_episcopus	Turdus_fulviventris	Turdus_fuscater	Vireo_leucophrys	Pharomachrus_auriceps	Trogon_personatus
Cecropia_andina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecropia_angustifolia	0	12	0	5	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	10	21	0	0	21	12	1	0	2	0	2	1
Cedrela_cf_nebulosa	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clethra_revoluta	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fuchsia_lehmannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faramea_202	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escallonia_paniculata	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Graffenrieda_emarginata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Indet_201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Isertia_laevis	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0
Miconia_201	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_punctata	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	4	34	0	51	0	2	0	0	0	0	0	0	0
Miconia_theaezans	1	31	0	0	0	0	0	1	17	34	2	4	6	1	7	0	0	6	1	0	0	0	1	0	0	40	48	17	30	1	32	26	0	1	0	1	0	0
Palicourea_200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palicourea_201	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Palicourea_thyrsiflora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Persea_weberbaueri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sapium_200	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siparuna_aspera	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Viburnum_cf_obtectum	0	11	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	3	6	0	0	1	0	0	0
