	Anisognathus_igniventris	Anisognathus_lacrymosus	Atlapetes_tricolor	Buthraupis_montana	Catamenia_inornata	Chlorornis_riefferii	Diglossa_humeralis	Diglossopis_cyanea	Dubusia_taeniata	Iridosornis_rufivertex	Myioborus_melanocephalus	Pipreola_arcuata	Tangara_vassorii
Ericaceae_300	2	4	0	0	0	0	0	3	0	0	0	1	0
Ericaceae_301	0	0	0	1	0	3	0	0	0	0	0	0	0
Ericaceae_302	0	0	0	0	1	0	0	0	0	0	0	0	0
Ericaceae_305	0	0	0	4	0	0	0	0	0	0	0	0	0
Ericaceae_306	0	3	0	0	0	0	0	0	0	0	0	0	0
Gaultheria_erecta	0	0	0	0	1	0	0	0	0	0	0	0	0
Gordonia_300	0	0	0	0	1	0	0	0	0	0	0	0	0
Graffenrieda_harlingii	0	2	0	0	0	0	0	0	0	0	0	0	0
Guettarda_hirsuta	0	2	0	0	0	0	0	0	0	0	0	0	0
Hedyosmum_300	1	1	0	0	0	0	0	0	0	0	0	0	0
Miconia_305	2	3	0	0	0	0	0	0	0	0	0	1	0
Miconia_306	5	9	0	0	0	1	1	4	2	0	0	0	10
Miconia_307	0	0	0	0	0	0	0	0	0	0	0	0	1
Miconia_radula	0	0	0	0	0	0	0	0	0	2	1	0	0
Nertera_depressa	0	0	1	0	0	0	0	0	0	0	0	0	0
Palicurea_302	0	0	0	0	0	0	0	0	0	0	0	1	0
Schefflera_300	0	1	0	6	0	1	0	0	0	0	0	0	0
Schefflera_302	0	1	0	0	0	0	0	0	0	0	0	0	0
Symplocos_sulcinervius	0	0	0	0	1	0	0	0	0	0	0	0	0
