	Anisognathus_somptuosus	Aratinga_leucophthalma	Aulacorhynchus_derbianus	Catharus_ustulatus	Cephalopterus_ornatus	Chiroxiphia_boliviana	Chlorochrysa_calliparaea	Chlorophonia_cyanea	Chlorospingus_flavigularis	Chlorospingus_ophthalmicus	Chlorospingus_parvirostris	Colaptes_rubiginosus	Cyanerpes_caeruleus	Cyanocorax_yncas	Dacnis_cayana	Diglossa_caerulescens	Diglossa_cyanea	Diglossa_glauca	Elaenia_albiceps	Elaenia_pallatangae	Entomodestes_leucotis	Eubucco_versicolor	Euphonia_mesochrysa	Euphonia_xanthogaster	Iridophanes_pulcherrimus	Iridosornis_analis	Lepidothrix_coeruleocapilla	Lophotriccus_pileatus	Mionectes_striaticollis	Myadestes_ralloides	Ortalis_guttata	Patagioenas_plumbea	Penelope_montagnii	Pharomachrus_antisianus	Pharomachrus_auriceps	Pipreola_intermedia	Piranga_rubra	Psarocolius_angustifrons	Psarocolius_atrovirens	Ramphocelus_carbo	Rupicola_peruvianus	Saltator_maximus	Tangara_arthus	Tangara_chilensis	Tangara_chrysotis	Tangara_cyanicollis	Tangara_gyrola	Tangara_nigroviridis	Tangara_punctata	Tangara_ruficervix	Tangara_vassorii	Tangara_xanthocephala	Thraupis_bonariensis	Thraupis_cyanocephala	Thraupis_episcopus	Thraupis_palmarum	Trichothraupis_melanops	Trogon_personatus	Turdus_chiguanco	Xenopipo_unicolor	Zimmerius_bolivianus
Anthurium_obtusum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banara_arguta	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brunellia_stenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Casearia_corymbosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecropia_polystachya	0	0	0	5	0	0	6	2	2	5	0	1	0	0	0	0	0	0	0	0	1	3	0	6	0	2	0	0	0	0	0	25	0	0	0	0	0	27	1	39	4	1	15	7	3	15	1	3	0	0	0	0	0	0	5	1	0	0	0	0	0
Cecropia_strigosa	2	0	0	0	0	0	13	8	2	3	7	0	0	0	2	0	0	0	0	0	0	5	1	12	0	0	0	0	0	0	0	30	0	3	1	0	0	1	1	16	3	0	17	22	0	12	5	1	2	0	0	6	0	0	2	4	0	0	0	0	0
Cestrum_parqui	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Cestrum_stipulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Coussarea_sp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Croton_rusbyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
