	Ampelion_rubrocristatus	Andigena_hypoglauca	Anisognathus_igniventris	Aulacorhynchus_coeruleicinctis	Buthraupis_montana	Cacicus_chrysonotus	Chlorornis_riefferii	Diglossa_brunneiventris	Diglossa_cyanea	Diglossa_mystacalis	Diglossa_sittoides	Elaenia_albiceps	Elaenia_pallatangae	Iridosornis_jelskii	Mionectes_striaticollis	Patagioenas_fasciata	Penelope_montagnii	Pipreola_arcuata	Pipreola_intermedia	Tangara_nigroviridis	Tangara_vassorii	Thraupis_bonariensis	Thraupis_cyanocephala	Trogon_personatus	Turdus_fuscater	Turdus_serranus
Bejaria_aestuans	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cavendishia_bracteata	0	0	0	0	0	0	4	0	9	0	0	0	0	5	0	0	0	1	0	0	0	0	3	0	1	1
Cestrum_parqui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Clusia_alata	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clusia_elliptica	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendrophthora_chrysostachya	0	0	23	0	2	0	8	0	17	0	0	0	0	3	0	0	0	0	0	0	3	0	7	0	0	0
Dendrophthora_densifolia	0	0	4	0	0	0	2	0	5	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0
Dendrophthora_paucifolia	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Dendrophthora_rotundata	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diogenesia_vargasiana	0	0	23	0	5	0	3	1	18	0	0	0	14	4	0	0	0	1	0	0	0	0	2	0	3	1
Disterigma_alaternoides	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Disterigma_ovatum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Freziera_karsteniana	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
Freziera_reticulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Freziera_uncinata	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Gaultheria_bracteata	0	0	4	0	1	0	1	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0
Gaultheria_buxifolia	0	0	4	0	4	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Gaultheria_reticulata	0	0	11	0	5	0	2	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0
Hedyosmum_angustifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	4	0	0	0	0	0	0	0
Hedyosmum_cuatrecazanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Hesperomeles_ferruginea	0	0	1	0	13	0	5	0	0	0	0	0	0	2	0	0	1	6	1	0	0	0	0	0	10	0
Licaria_sp	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligaria_cuneifolia	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Miconia_aprica	0	0	10	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0
Miconia_denticulata	0	0	7	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
Miconia_media	0	0	8	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
Miconia_micropetala	0	0	92	0	5	2	8	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	0	0	0	0
Miconia_rubens	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_sp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Monnina_marginata	0	0	10	0	3	0	5	0	5	0	0	1	1	3	0	0	0	0	0	0	0	0	10	0	0	0
Morella_pubescens	0	0	8	0	20	10	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	3	1
Muehlenbeckia_tamnifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Myrsine_coriacea	0	0	13	0	4	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	6	0	2	1
Myrteola_phylicoides	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Orthaea_boliviensis	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palicourea_stipularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pernettya_prostrata	0	0	14	0	0	0	0	0	7	0	0	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0
Podocarpus_oleifolius	0	0	18	0	8	0	12	0	0	0	0	0	0	0	0	24	3	3	9	0	0	0	2	1	0	0
Prunus_integrifolia	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	15	3	0	0	0	0	0	0	1
Ruagea_subviridiflora	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schefflera_penelope	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0
Schefflera_sp2	5	3	15	0	128	14	40	0	5	0	0	0	2	0	0	5	0	2	0	2	45	0	36	0	1	0
Smilax_domingensis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solanum_sp3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Styrax_foveolaria	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Thibaudia_crenulata	1	3	23	0	11	0	3	0	41	6	2	0	2	5	0	0	5	0	0	0	1	2	16	0	10	0
Thibaudia_sp	0	0	5	0	9	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Tibouchina_calycina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tripodanthus_acutifolius	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Viburnum_reticulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Viburnum_seemenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
