"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Aechmea_distichantha","P01","Arremon_flavirostris","B01",0
"Aechmea_distichantha","P01","Atlapetes_citrinellus","B02",0
"Aechmea_distichantha","P01","Carduelis_magellanica","B03",0
"Aechmea_distichantha","P01","Catharus_ustulatus","B04",0
"Aechmea_distichantha","P01","Chlorospingus_ophthalmicus","B05",0
"Aechmea_distichantha","P01","Cyanocorax_chrysops","B06",0
"Aechmea_distichantha","P01","Elaenia_albiceps","B07",0
"Aechmea_distichantha","P01","Elaenia_obscura","B08",0
"Aechmea_distichantha","P01","Elaenia_parvirostris","B09",0
"Aechmea_distichantha","P01","Elaenia_spectabilis","B10",0
"Aechmea_distichantha","P01","Euphonia_chlorotica","B11",0
"Aechmea_distichantha","P01","Euphonia_cyanocephala","B12",1
"Aechmea_distichantha","P01","Pachyramphus_validus","B13",0
"Aechmea_distichantha","P01","Parula_pitiayumi","B14",0
"Aechmea_distichantha","P01","Penelope_obscura","B15",0
"Aechmea_distichantha","P01","Pheucticus_aureoventris","B16",0
"Aechmea_distichantha","P01","Phylloscartes_ventralis","B17",0
"Aechmea_distichantha","P01","Pipraeidea_melanonota","B18",0
"Aechmea_distichantha","P01","Piranga_flava","B19",0
"Aechmea_distichantha","P01","Poospiza_erythrophrys","B20",0
"Aechmea_distichantha","P01","Syndactyla_rufosuperciliata","B21",0
"Aechmea_distichantha","P01","Thraupis_sayaca","B22",28
"Aechmea_distichantha","P01","Turdus_nigriceps","B23",0
"Aechmea_distichantha","P01","Turdus_rufiventris","B24",2
"Aechmea_distichantha","P01","Vireo.olivaceus","B25",0
"Allophylus_edulis","P02","Arremon_flavirostris","B01",0
"Allophylus_edulis","P02","Atlapetes_citrinellus","B02",0
"Allophylus_edulis","P02","Carduelis_magellanica","B03",0
"Allophylus_edulis","P02","Catharus_ustulatus","B04",0
"Allophylus_edulis","P02","Chlorospingus_ophthalmicus","B05",2
"Allophylus_edulis","P02","Cyanocorax_chrysops","B06",0
"Allophylus_edulis","P02","Elaenia_albiceps","B07",0
"Allophylus_edulis","P02","Elaenia_obscura","B08",0
"Allophylus_edulis","P02","Elaenia_parvirostris","B09",0
"Allophylus_edulis","P02","Elaenia_spectabilis","B10",0
"Allophylus_edulis","P02","Euphonia_chlorotica","B11",0
"Allophylus_edulis","P02","Euphonia_cyanocephala","B12",0
"Allophylus_edulis","P02","Pachyramphus_validus","B13",0
"Allophylus_edulis","P02","Parula_pitiayumi","B14",0
"Allophylus_edulis","P02","Penelope_obscura","B15",0
"Allophylus_edulis","P02","Pheucticus_aureoventris","B16",0
"Allophylus_edulis","P02","Phylloscartes_ventralis","B17",0
"Allophylus_edulis","P02","Pipraeidea_melanonota","B18",0
"Allophylus_edulis","P02","Piranga_flava","B19",0
"Allophylus_edulis","P02","Poospiza_erythrophrys","B20",0
"Allophylus_edulis","P02","Syndactyla_rufosuperciliata","B21",0
"Allophylus_edulis","P02","Thraupis_sayaca","B22",0
"Allophylus_edulis","P02","Turdus_nigriceps","B23",0
"Allophylus_edulis","P02","Turdus_rufiventris","B24",0
"Allophylus_edulis","P02","Vireo.olivaceus","B25",0
"Blepharocalyx_salicifolius","P03","Arremon_flavirostris","B01",0
"Blepharocalyx_salicifolius","P03","Atlapetes_citrinellus","B02",0
"Blepharocalyx_salicifolius","P03","Carduelis_magellanica","B03",0
"Blepharocalyx_salicifolius","P03","Catharus_ustulatus","B04",0
"Blepharocalyx_salicifolius","P03","Chlorospingus_ophthalmicus","B05",10
"Blepharocalyx_salicifolius","P03","Cyanocorax_chrysops","B06",0
"Blepharocalyx_salicifolius","P03","Elaenia_albiceps","B07",0
"Blepharocalyx_salicifolius","P03","Elaenia_obscura","B08",0
"Blepharocalyx_salicifolius","P03","Elaenia_parvirostris","B09",0
"Blepharocalyx_salicifolius","P03","Elaenia_spectabilis","B10",0
"Blepharocalyx_salicifolius","P03","Euphonia_chlorotica","B11",0
"Blepharocalyx_salicifolius","P03","Euphonia_cyanocephala","B12",2
"Blepharocalyx_salicifolius","P03","Pachyramphus_validus","B13",1
"Blepharocalyx_salicifolius","P03","Parula_pitiayumi","B14",0
"Blepharocalyx_salicifolius","P03","Penelope_obscura","B15",0
"Blepharocalyx_salicifolius","P03","Pheucticus_aureoventris","B16",0
"Blepharocalyx_salicifolius","P03","Phylloscartes_ventralis","B17",0
"Blepharocalyx_salicifolius","P03","Pipraeidea_melanonota","B18",0
"Blepharocalyx_salicifolius","P03","Piranga_flava","B19",0
"Blepharocalyx_salicifolius","P03","Poospiza_erythrophrys","B20",0
"Blepharocalyx_salicifolius","P03","Syndactyla_rufosuperciliata","B21",0
"Blepharocalyx_salicifolius","P03","Thraupis_sayaca","B22",17
"Blepharocalyx_salicifolius","P03","Turdus_nigriceps","B23",2
"Blepharocalyx_salicifolius","P03","Turdus_rufiventris","B24",7
"Blepharocalyx_salicifolius","P03","Vireo.olivaceus","B25",0
"Celtis_iguanaea","P04","Arremon_flavirostris","B01",0
"Celtis_iguanaea","P04","Atlapetes_citrinellus","B02",1
"Celtis_iguanaea","P04","Carduelis_magellanica","B03",0
"Celtis_iguanaea","P04","Catharus_ustulatus","B04",0
"Celtis_iguanaea","P04","Chlorospingus_ophthalmicus","B05",8
"Celtis_iguanaea","P04","Cyanocorax_chrysops","B06",1
"Celtis_iguanaea","P04","Elaenia_albiceps","B07",0
"Celtis_iguanaea","P04","Elaenia_obscura","B08",0
"Celtis_iguanaea","P04","Elaenia_parvirostris","B09",0
"Celtis_iguanaea","P04","Elaenia_spectabilis","B10",0
"Celtis_iguanaea","P04","Euphonia_chlorotica","B11",0
"Celtis_iguanaea","P04","Euphonia_cyanocephala","B12",0
"Celtis_iguanaea","P04","Pachyramphus_validus","B13",0
"Celtis_iguanaea","P04","Parula_pitiayumi","B14",0
"Celtis_iguanaea","P04","Penelope_obscura","B15",1
"Celtis_iguanaea","P04","Pheucticus_aureoventris","B16",0
"Celtis_iguanaea","P04","Phylloscartes_ventralis","B17",0
"Celtis_iguanaea","P04","Pipraeidea_melanonota","B18",0
"Celtis_iguanaea","P04","Piranga_flava","B19",0
"Celtis_iguanaea","P04","Poospiza_erythrophrys","B20",0
"Celtis_iguanaea","P04","Syndactyla_rufosuperciliata","B21",0
"Celtis_iguanaea","P04","Thraupis_sayaca","B22",7
"Celtis_iguanaea","P04","Turdus_nigriceps","B23",2
"Celtis_iguanaea","P04","Turdus_rufiventris","B24",27
"Celtis_iguanaea","P04","Vireo.olivaceus","B25",0
"Cestrum_lorentzianum","P05","Arremon_flavirostris","B01",0
"Cestrum_lorentzianum","P05","Atlapetes_citrinellus","B02",0
"Cestrum_lorentzianum","P05","Carduelis_magellanica","B03",0
"Cestrum_lorentzianum","P05","Catharus_ustulatus","B04",0
"Cestrum_lorentzianum","P05","Chlorospingus_ophthalmicus","B05",0
"Cestrum_lorentzianum","P05","Cyanocorax_chrysops","B06",0
"Cestrum_lorentzianum","P05","Elaenia_albiceps","B07",0
"Cestrum_lorentzianum","P05","Elaenia_obscura","B08",0
"Cestrum_lorentzianum","P05","Elaenia_parvirostris","B09",0
"Cestrum_lorentzianum","P05","Elaenia_spectabilis","B10",0
"Cestrum_lorentzianum","P05","Euphonia_chlorotica","B11",0
"Cestrum_lorentzianum","P05","Euphonia_cyanocephala","B12",0
"Cestrum_lorentzianum","P05","Pachyramphus_validus","B13",0
"Cestrum_lorentzianum","P05","Parula_pitiayumi","B14",0
"Cestrum_lorentzianum","P05","Penelope_obscura","B15",0
"Cestrum_lorentzianum","P05","Pheucticus_aureoventris","B16",0
"Cestrum_lorentzianum","P05","Phylloscartes_ventralis","B17",0
"Cestrum_lorentzianum","P05","Pipraeidea_melanonota","B18",0
"Cestrum_lorentzianum","P05","Piranga_flava","B19",0
"Cestrum_lorentzianum","P05","Poospiza_erythrophrys","B20",0
"Cestrum_lorentzianum","P05","Syndactyla_rufosuperciliata","B21",0
"Cestrum_lorentzianum","P05","Thraupis_sayaca","B22",0
