"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Aechmea_distichantha",10.2,8.8,6.8,102.1
"P02","Allophylus_edulis",7.7,8,8.6,164
"P03","Blepharocalyx_salicifolius",7.9,7.6,25.1,1056.7
"P04","Celtis_iguanaea",12,13.5,11.6,93.1
"P05","Cestrum_lorentzianum",11.4,7.3,2.9,31.8
"P06","Cestrum_strigillatum",11,6.9,3,29.3
"P07","Chamissoa_altissima",3.8,3.5,5.5,172.5
"P08","Cissus_striata",7.7,8.3,11.9,84.4
"P09","Cupania_vernalis",14.5,9.2,14.9,803.3
"P10","Duranta_serratifolia",12,10.5,7.3,4711.6
"P11","Eugenia_uniflora",9.8,12.9,8.7,123.4
"P12","Hoffmannia_australis",6.7,7.4,1.2,18.4
"P13","Lepismium_lumbricoides",7.2,9.5,10.7,26.4
"P14","Morus_alba",22.4,14.4,9.5,1418.9
"P15","Myrcianthes_pungens",16.3,16.9,10.3,551.2
"P16","Myrsine_laetevirens",5.3,5.6,15.1,1039.3
"P17","Ocotea_porphyria",17,11.3,20.9,515
"P18","Phoradendron_spp",5.1,5.5,13,127.7
"P19","Piper_hieronymi",104.6,6.3,3.2,243.8
"P20","Piper_tucumanum",84.1,8.6,7.8,167.5
"P21","Psychotria_carthagenensis",6.3,6.6,2.5,67.5
"P22","Rhipsalis_floccosa",7.1,6.5,9.8,23.8
"P23","Smilax_campestris",7.7,8.3,6.3,61.8
"P24","Solanum_riparium",10.7,11,7.9,210.3
"P25","Urera_baccifera",6,6.9,4.6,205.8
"P26","Urera_caracasana",7.1,12.3,8.4,3903.1
"P27","Zanthoxylum_coco",5.1,3.9,15,101.7
