"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Anisognathus_igniventris",0.16,15.6,10.6,34
"B02","Anisognathus_somptuosus",0.18,17.6,10.2,44
"B03","Aratinga_mitrata",0.43,25,17.6,249
"B04","Atlapetes_rufinucha",0.1,14.9,8.7,21.54
"B06","Catharus_ustulatus",0.32,19.8,9.5,30.3
"B07","Chiroxiphia_boliviana",0.16,14.6,9.2,17.13
"B08","Chlorophonia_cyanea",0.28,10.2,6.5,14
"B09","Chlorospingus_ophthalmicus",0.16,14.1,7.7,19.98
"B11","Cyanocorax_yncas",0.08,29.7,15.1,78.5
"B12","Diglossa_cyanea",0.17,17.3,7.2,17.04
"B13","Elaenia_obscura",0.18,16.3,10.5,23.9
"B14","Elaenia_pallatangae",0.21,13.1,7.1,17.8
"B15","Entomodestes_leucotis",0.21,23.9,12.9,61.7
"B16","Eubucco_versicolor",0.14,25.1,12.6,32.8
"B17","Euphonia_xanthogaster",0.22,11.7,7.4,13
"B18","Hapalopsittaca_melanotis",0.39,18.1,11.8,158
"B19","Lipaugus_uropygialis",0.1,34.1,19.6,116
"B20","Mionectes_striaticollis",0.22,14.3,7.6,15
"B21","Parula_pitiayumi",0.2,12.3,5.1,6.82
"B22","Patagioenas_fasciata",0.36,27.1,11,366.3
"B23","Patagioenas_plumbea",0.35,22.7,8.1,178.77
"B24","Penelope_montagnii",0.19,34.3,17.5,706
"B25","Pheucticus_aureoventris",0.22,21.1,13.5,49
"B26","Phyllomyias_uropygialis",0.17,11.4,6.3,8.99
"B27","Pionus_sordidus",0.35,22.7,16.3,266
"B28","Pionus_tumultuosus",0.34,22.3,15.2,239
"B29","Pipreola_frontalis",0.19,17.6,13.4,42.4
"B30","Pipreola_intermedia",0.17,20.9,13.5,51.18
"B31","Psarocolius_decumanus",0.28,48.5,17.7,206.3
"B32","Pyrrhura_molinae",0.38,16.4,11.3,77.09
"B33","Tangara_vassorii",0.23,12.8,8,18
"B35","Thraupis_cyanocephala",0.16,16.9,10.7,36
"B36","Thraupis_palmarum",0.22,18.5,9.6,39
"B37","Thraupis_sayaca",0.25,16.3,9.8,32.49
"B38","Trogon_personatus",0.37,21.2,16,63.39
"B39","Turdus_albicollis",0.21,26.7,11,54
"B40","Turdus_serranus",0.21,30.7,13.3,84.9
"B41","Veniliornis_nigriceps",0.17,25.8,9.6,43.96
