"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Alchornea_triplinervia",9.6,12.3,14.7,5879.8
"P02","Beilschmiedia_tovarensis",34.8,18.7,15,118.7
"P03","Clusia_lechleri",21,19.1,15,19448
"P04","Clusia_sphaerocarpa",25.4,21.5,15,21441.2
"P05","Clusia_trochiformis",12.2,9,6.8,10027.8
"P06","Dendrophthora_macbridei",2.9,4.5,3.1,0.3
"P07","Eugenia_sp",12.8,10.6,10,1019.2
"P08","Ficus_americana",5.3,8.2,15,13248.3
"P09","Freziera_lanata",4.8,4.5,5,945.6
"P10","Guatteria_glauca",9.8,7.2,7.3,5771.2
"P11","Hedyosmun_angustifolium",5.8,5.8,4.9,66.3
"P12","Hieronyma_alchorneoides",6.9,6.9,10,1711.8
"P13","Hieronyma_moritziana",4.3,4.2,10,426.6
"P14","Inga_fendleriana",92,27.3,20,4848.4
"P15","Leandra_carassana",4.5,4.1,0.6,14.2
"P16","Lepismium_bolivianum",6.1,2.4,0.4,6
"P17","Miconia_boliviensis",4.6,4.5,5,357.6
"P18","Miconia_brittonii",3.9,4,5,2543.7
"P20","Miconia_hygrophila",4.1,4.8,4.2,552.2
"P21","Miconia_plumifera",3.7,4.7,1,215.5
"P22","Mollinedia_steinbachiana",8.7,6.5,10,2555
"P23","Myrsine_coriaceae",5.5,6.1,2.5,968.1
"P24","Palicourea_attenuata",5.4,6.9,1,20.8
"P25","Persea_bilocularis",6.9,6.7,10,589.8
"P26","Prumnopitys_sp",10,9.4,20,23169.7
"P27","Sapium_sp",8.6,11.1,10,2919.2
"P28","Symplocos_arechea",18.3,10.9,9.8,34842.6
"P29","Symplocos_colorata",8.2,8.1,10,2157
"P30","Thibaudia_crenulata",6.8,8.5,3.1,87.6
"P31","Viburnum_seemenii",6.9,6.5,5.4,1225
