"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Anisognathus_somptuosus",0.18,17.6,10.2,44
"B02","Aratinga_mitrata",0.43,25,17.6,249
"B03","Aulacorhynchus_coeruleicinctis",0.11,80.3,26.9,208
"B04","Chiroxiphia_boliviana",0.16,14.6,9.2,17.13
"B05","Chlorospingus_ophthalmicus",0.16,14.1,7.7,19.98
"B06","Diglossa_cyanea",0.17,17.3,7.2,17.04
"B07","Empidonomus_varius",0.28,20,10.9,27.1
"B08","Eubucco_versicolor",0.14,25.1,12.6,32.8
"B09","Lipaugus_uropygialis",0.1,34.1,19.6,116
"B10","Mionectes_striaticollis",0.22,14.3,7.6,15
"B11","Myioborus_miniatus",0.16,12.9,6,9
"B12","Penelope_montagnii",0.19,34.3,17.5,706
"B13","Pheucticus_aureoventris",0.22,21.1,13.5,49
"B14","Phyllomyias_sclateri",0.22,11.6,7.5,9.2
"B15","Pipreola_frontalis",0.19,17.6,13.4,42.4
"B16","Pyrrhura_molinae",0.38,16.4,11.3,77.09
"B17","Rupicola_peruvianus",0.12,31.9,20.9,242.5
"B18","Tangara_argyrofenges",0.26,12.7,8.1,19
"B19","Tangara_vassorii",0.23,12.8,8,18
"B20","Tangara_xanthocephala",0.22,12.8,7.3,19
"B21","Thraupis_cyanocephala",0.16,16.9,10.7,36
"B22","Turdus_albicollis",0.21,26.7,11,54
