"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Alchornea_triplinervia","P01","Anisognathus_somptuosus","B01",6
"Alchornea_triplinervia","P01","Aratinga_mitrata","B02",0
"Alchornea_triplinervia","P01","Aulacorhynchus_coeruleicinctis","B03",0
"Alchornea_triplinervia","P01","Chiroxiphia_boliviana","B04",0
"Alchornea_triplinervia","P01","Chlorospingus_ophthalmicus","B05",0
"Alchornea_triplinervia","P01","Diglossa_cyanea","B06",0
"Alchornea_triplinervia","P01","Empidonomus_varius","B07",0
"Alchornea_triplinervia","P01","Eubucco_versicolor","B08",0
"Alchornea_triplinervia","P01","Lipaugus_uropygialis","B09",0
"Alchornea_triplinervia","P01","Mionectes_striaticollis","B10",0
"Alchornea_triplinervia","P01","Myioborus_miniatus","B11",0
"Alchornea_triplinervia","P01","Penelope_montagnii","B12",0
"Alchornea_triplinervia","P01","Pheucticus_aureoventris","B13",0
"Alchornea_triplinervia","P01","Phyllomyias_sclateri","B14",0
"Alchornea_triplinervia","P01","Pipreola_frontalis","B15",0
"Alchornea_triplinervia","P01","Pyrrhura_molinae","B16",8
"Alchornea_triplinervia","P01","Rupicola_peruvianus","B17",0
"Alchornea_triplinervia","P01","Tangara_argyrofenges","B18",0
"Alchornea_triplinervia","P01","Tangara_vassorii","B19",0
"Alchornea_triplinervia","P01","Tangara_xanthocephala","B20",1
"Alchornea_triplinervia","P01","Thraupis_cyanocephala","B21",0
"Alchornea_triplinervia","P01","Turdus_albicollis","B22",0
"Ceroxylon_pityrophyllum","P02","Anisognathus_somptuosus","B01",0
"Ceroxylon_pityrophyllum","P02","Aratinga_mitrata","B02",0
"Ceroxylon_pityrophyllum","P02","Aulacorhynchus_coeruleicinctis","B03",2
"Ceroxylon_pityrophyllum","P02","Chiroxiphia_boliviana","B04",0
"Ceroxylon_pityrophyllum","P02","Chlorospingus_ophthalmicus","B05",0
"Ceroxylon_pityrophyllum","P02","Diglossa_cyanea","B06",0
"Ceroxylon_pityrophyllum","P02","Empidonomus_varius","B07",0
"Ceroxylon_pityrophyllum","P02","Eubucco_versicolor","B08",0
"Ceroxylon_pityrophyllum","P02","Lipaugus_uropygialis","B09",0
"Ceroxylon_pityrophyllum","P02","Mionectes_striaticollis","B10",0
"Ceroxylon_pityrophyllum","P02","Myioborus_miniatus","B11",0
"Ceroxylon_pityrophyllum","P02","Penelope_montagnii","B12",0
"Ceroxylon_pityrophyllum","P02","Pheucticus_aureoventris","B13",0
"Ceroxylon_pityrophyllum","P02","Phyllomyias_sclateri","B14",0
"Ceroxylon_pityrophyllum","P02","Pipreola_frontalis","B15",0
"Ceroxylon_pityrophyllum","P02","Pyrrhura_molinae","B16",0
"Ceroxylon_pityrophyllum","P02","Rupicola_peruvianus","B17",0
"Ceroxylon_pityrophyllum","P02","Tangara_argyrofenges","B18",0
"Ceroxylon_pityrophyllum","P02","Tangara_vassorii","B19",0
"Ceroxylon_pityrophyllum","P02","Tangara_xanthocephala","B20",0
"Ceroxylon_pityrophyllum","P02","Thraupis_cyanocephala","B21",0
"Ceroxylon_pityrophyllum","P02","Turdus_albicollis","B22",0
"Clusia_lechleri","P03","Anisognathus_somptuosus","B01",0
"Clusia_lechleri","P03","Aratinga_mitrata","B02",0
"Clusia_lechleri","P03","Aulacorhynchus_coeruleicinctis","B03",0
"Clusia_lechleri","P03","Chiroxiphia_boliviana","B04",0
"Clusia_lechleri","P03","Chlorospingus_ophthalmicus","B05",0
"Clusia_lechleri","P03","Diglossa_cyanea","B06",3
"Clusia_lechleri","P03","Empidonomus_varius","B07",0
"Clusia_lechleri","P03","Eubucco_versicolor","B08",0
"Clusia_lechleri","P03","Lipaugus_uropygialis","B09",0
"Clusia_lechleri","P03","Mionectes_striaticollis","B10",2
"Clusia_lechleri","P03","Myioborus_miniatus","B11",0
"Clusia_lechleri","P03","Penelope_montagnii","B12",0
"Clusia_lechleri","P03","Pheucticus_aureoventris","B13",0
"Clusia_lechleri","P03","Phyllomyias_sclateri","B14",0
"Clusia_lechleri","P03","Pipreola_frontalis","B15",0
"Clusia_lechleri","P03","Pyrrhura_molinae","B16",0
"Clusia_lechleri","P03","Rupicola_peruvianus","B17",0
"Clusia_lechleri","P03","Tangara_argyrofenges","B18",0
"Clusia_lechleri","P03","Tangara_vassorii","B19",0
"Clusia_lechleri","P03","Tangara_xanthocephala","B20",0
"Clusia_lechleri","P03","Thraupis_cyanocephala","B21",0
"Clusia_lechleri","P03","Turdus_albicollis","B22",0
"Clusia_sphaerocarpa","P04","Anisognathus_somptuosus","B01",0
"Clusia_sphaerocarpa","P04","Aratinga_mitrata","B02",0
"Clusia_sphaerocarpa","P04","Aulacorhynchus_coeruleicinctis","B03",0
"Clusia_sphaerocarpa","P04","Chiroxiphia_boliviana","B04",2
"Clusia_sphaerocarpa","P04","Chlorospingus_ophthalmicus","B05",3
"Clusia_sphaerocarpa","P04","Diglossa_cyanea","B06",0
"Clusia_sphaerocarpa","P04","Empidonomus_varius","B07",6
"Clusia_sphaerocarpa","P04","Eubucco_versicolor","B08",0
"Clusia_sphaerocarpa","P04","Lipaugus_uropygialis","B09",0
"Clusia_sphaerocarpa","P04","Mionectes_striaticollis","B10",0
"Clusia_sphaerocarpa","P04","Myioborus_miniatus","B11",0
"Clusia_sphaerocarpa","P04","Penelope_montagnii","B12",0
"Clusia_sphaerocarpa","P04","Pheucticus_aureoventris","B13",0
"Clusia_sphaerocarpa","P04","Phyllomyias_sclateri","B14",1
"Clusia_sphaerocarpa","P04","Pipreola_frontalis","B15",0
"Clusia_sphaerocarpa","P04","Pyrrhura_molinae","B16",0
"Clusia_sphaerocarpa","P04","Rupicola_peruvianus","B17",0
"Clusia_sphaerocarpa","P04","Tangara_argyrofenges","B18",0
"Clusia_sphaerocarpa","P04","Tangara_vassorii","B19",0
