"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Alchornea_triplinervia",9.6,12.3,14.7,5879.8
"P02","Ceroxylon_pityrophyllum",19.1,17.6,15,10063.4
"P03","Clusia_lechleri",21,19.1,15,19448
"P04","Clusia_sphaerocarpa",25.4,21.5,15,21441.2
"P05","Clusia_trochiformis",12.2,9,6.8,10027.8
"P06","Coussarea_sp",11.2,9.1,10,1002.7
"P07","Eugenia_sp",12.8,10.6,10,1019.2
"P10","Hesperomeles_ferruginea",6.7,8.1,3.6,586.4
"P11","Hieronyma_alchorneoides",6.9,6.9,10,1711.8
"P12","Hieronyma_moritziana",4.3,4.2,10,426.6
"P13","Miconia_cordata",4.3,4.5,5,2414.1
"P15","Psychotria_carthagenensis",5.9,6.4,5,423
"P16","Sapium_sp",8.6,11.1,10,2919.2
"P17","Symplocos_arechea",18.3,10.9,9.8,34842.6
"P18","Symplocos_colorata",8.2,8.1,10,2157
