"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Aburria_aburri",0.34,38.8,18.1,1513.625
"B02","Anisognathus_somptuosus",0.17,16.3,9.8,47.36666667
"B03","Aulacorhynchus_haematopygus",0.46,86.3,32.2,217.5
"B04","Aulacorhynchus_prasinus",0.19,75.7,26.7,193.25
"B05","Catharus_ustulatus",0.32,19.8,9.5,30.3
"B06","Chamaepetes_goudotii",0.31,37.3,17.8,800
"B07","Chlorochrysa_nitidissima",0.08,11.5,5.9,16.16666667
"B08","Chlorophonia_cyanea",0.28,10.2,6.5,14
"B09","Chlorospingus_canigularis",0.17,11.4,7.3,18.35
"B10","Chlorospingus_ophthalmicus",0.16,14.1,7.7,18.95
"B11","Cranioleuca_erythrops",0.11,14.6,6.9,16.48333333
"B12","Dendroica_fusca",0.06,10.7,4.6,10.33333333
"B13","Diglossa_caerulescens",0.16,15,6.3,14.525
"B14","Diglossa_cyanea",0.17,17.3,7.2,17.05
"B15","Eubucco_bourcierii",0.25,21.6,13.3,33.25
"B16","Euphonia_xanthogaster",0.22,11.7,7.4,13
"B17","Masius_chrysopterus",0.11,10,6.9,11.93333333
"B18","Mionectes_striaticollis",0.28,13.2,6.8,12.625
"B19","Momotus_aequatorialis",0.15,43.4,17.6,156
"B20","Myadestes_ralloides",0.21,17.8,12.1,29.1
"B21","Pachyramphus_polychopterus",0.1,14.8,9.7,22.03333333
"B22","Patagioenas_cayennensis",0.35,25.6,8.6,229
"B23","Penelope_perspicax",0.05,40.5,18.3,1300
"B24","Pharomachrus_auriceps",0.37,30,22.6,180
"B25","Pheucticus_ludovicianus",0.27,18.7,12,42
"B26","Phyllomyias_plumbeiceps",0.15,8.8,5.7,8.8
"B27","Phylloscartes_ophthalmicus",0.11,9.5,5.5,8.4
"B28","Pipraeidea_melanonota",0.24,12.9,7.8,18.5
"B29","Piranga_flava",0.11,14.4,10.2,37.7
"B30","Piranga_leucoptera",0.18,14.8,9.1,17.75
"B31","Piranga_rubra",0.09,17.4,10,26.85
"B32","Pyroderus_scutatus",0.08,42.6,23.7,357
"B33","Rupicola_peruvianus",0.12,31.9,20.9,244
"B34","Tangara_arthus",0.22,14.3,8.5,22
"B35","Tangara_heinei",0.15,11.2,7.5,20.6
"B36","Tangara_labradorides",0.13,11.8,7.3,14.875
"B37","Tangara_nigroviridis",0.14,11.5,7.4,17.08333333
"B38","Tangara_vitriolina",0.1,12.9,7.6,22.75
"B39","Tangara_xanthocephala",0.22,12.8,7.3,19
"B40","Trogon_collaris",0.34,21.1,16.8,55.03333333
"B41","Trogon_personatus",0.37,21.2,16,63.4
"B42","Turdus_ignobilis",0.22,24.9,11.9,63.85
"B43","Turdus_serranus",0.21,30.7,13.3,84.9
"B44","Vireo_leucophrys",0.09,11.7,6,12.325
"B45","Zimmerius_viridiflavus",0.08,9.1,5.6,9.133333333
