"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Alchornea_grandiflora",9.5,10.7,18.4,4286.2
"P02","Cecropia_telealba",210,21.6,25,35667.5
"P03","Ceroxylon_alpinum",17.3,17.3,35,19802.5
"P04","Chrysochlamys_colombiana",12.4,5.5,12,5857.8
"P05","Clarisia_biflora",21.6,21.8,24,1005.6
"P06","Cordia_trianae",9.6,6.7,20,554.3
"P07","Cuatresia_riparia",12.1,12.9,4,297.9
"P08","Dendropanax_macrophylum",8.8,11.2,21,6758.1
"P09","Dendrophthora",4.8,4,6,0.7
"P10","Geonoma_undata",8.9,7.1,8.5,2586.9
"P11","Hyeronima_scabrida",5.6,4.7,16.6,114.5
"P12","Miconia_acuminifera",8.9,9.6,5.5,109.2
"P13","Miconia_caudata",4.4,5.4,6.8,27.5
"P14","Miconia_resima",4.6,5.2,5,49.7
"P15","Nectandra_lineatifolia",18.3,12.7,20,315.2
"P16","Oreopanax_floribundum",7.3,6.7,14.8,214.7
"P17","Palicourea_acetosoides",5.5,5.8,5.3,37.8
"P18","Palicourea_angustifolia",10.8,13.3,5.5,335.2
"P19","Palicourea_ovalis",9.4,11.2,5.7,152.3
"P20","Santalum_sp",5.5,4.1,15,0.5
"P21","Smilax_spinosa",12.2,15.1,30,212.3
"P22","Tovomita_guianensis",5.6,5.2,35,1.9
