"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Antidaphne_viscoidea","P01","Andigena_hypoglauca","B01",0
"Antidaphne_viscoidea","P01","Andigena_nigrirostris","B02",0
"Antidaphne_viscoidea","P01","Anisognathus_lacrymosus","B03",0
"Antidaphne_viscoidea","P01","Anisognathus_somptuosus","B04",4
"Antidaphne_viscoidea","P01","Atlapetes_schistaceus","B06",0
"Antidaphne_viscoidea","P01","Aulacorhynchus_prasinus","B07",0
"Antidaphne_viscoidea","P01","Arremon_brunneinucha","B05",0
"Antidaphne_viscoidea","P01","Buthraupis_montana","B08",3
"Antidaphne_viscoidea","P01","Cacicus_chrysonotus","B09",0
"Antidaphne_viscoidea","P01","Wilsonia_canadensis","B39",0
"Antidaphne_viscoidea","P01","Chamaepetes_goudotii","B10",0
"Antidaphne_viscoidea","P01","Chlorornis_riefferii","B11",1
"Antidaphne_viscoidea","P01","Chlorospingus_ophthalmicus","B12",0
"Antidaphne_viscoidea","P01","Cnemoscopus_rubrirostris","B13",0
"Antidaphne_viscoidea","P01","Patagioenas_subvinacea","B25",0
"Antidaphne_viscoidea","P01","Conirostrum_albifrons","B14",0
"Antidaphne_viscoidea","P01","Dendroica_fusca","B15",0
"Antidaphne_viscoidea","P01","Diglossa_caerulescens","B16",0
"Antidaphne_viscoidea","P01","Diglossa_cyanea","B17",0
"Antidaphne_viscoidea","P01","Euphonia_xanthogaster","B18",0
"Antidaphne_viscoidea","P01","Leptopogon_rufipectus","B19",0
"Antidaphne_viscoidea","P01","Lipaugus_fuscocinereus","B20",0
"Antidaphne_viscoidea","P01","Mecocerculus_poecilocercus","B21",0
"Antidaphne_viscoidea","P01","Mionectes_striaticollis","B22",0
"Antidaphne_viscoidea","P01","Pachyramphus_polychopterus","B23",0
"Antidaphne_viscoidea","P01","Pachyramphus_versicolor","B24",0
"Antidaphne_viscoidea","P01","Penelope_montagnii","B26",0
"Antidaphne_viscoidea","P01","Phyllomyias_nigrocapillus","B27",0
"Antidaphne_viscoidea","P01","Pipraeidea_melanonota","B28",0
