"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Alchornea_100","P01","Cacicus_uropygialis","B01",0
"Alchornea_100","P01","Catharus_ustulatus","B02",0
"Alchornea_100","P01","Chamaepetes_goudotii","B03",0
"Alchornea_100","P01","Chlorochrysa_calliparaea","B04",2
"Alchornea_100","P01","Chlorophanes_spiza","B05",0
"Alchornea_100","P01","Chlorospingus_canigularis","B06",0
"Alchornea_100","P01","Chlorospingus_flavigularis","B07",0
"Alchornea_100","P01","Coereba_flaveola","B08",0
"Alchornea_100","P01","Dacnis_cayana","B09",0
"Alchornea_100","P01","Dacnis_lineata","B10",1
"Alchornea_100","P01","Eubucco_bourcierii","B11",0
"Alchornea_100","P01","Euphonia_laniirostris","B12",0
"Alchornea_100","P01","Euphonia_xanthogaster","B13",1
"Alchornea_100","P01","Hemispingus_frontalis","B14",0
"Alchornea_100","P01","Hemispingus_superciliaris","B15",0
"Alchornea_100","P01","Heterospingus_xanthopygius","B16",0
"Alchornea_100","P01","Iridophanes_pulcherrimus","B17",0
"Alchornea_100","P01","Lepidothrix_isidorei","B18",1
"Alchornea_100","P01","Leptopogon_superciliaris","B19",0
"Alchornea_100","P01","Machaeropterus_regulus","B20",0
"Alchornea_100","P01","Myadestes_ralloides","B21",0
"Alchornea_100","P01","Myiarchus_cephalotes","B22",0
"Alchornea_100","P01","Parula_pitiayumi","B23",0
"Alchornea_100","P01","Patagioenas_subvinacea","B24",0
"Alchornea_100","P01","Pionus_menstruus","B25",0
"Alchornea_100","P01","Pipra_erythrocephala","B26",0
"Alchornea_100","P01","Pipra_pipra","B27",0
"Alchornea_100","P01","Pipreola_frontalis","B28",0
"Alchornea_100","P01","Psarocolius_angustifrons","B29",0
"Alchornea_100","P01","Pyrrhura_albipectus","B30",0
"Alchornea_100","P01","Rupicola_peruvianus","B31",0
"Alchornea_100","P01","Saltator_grossus","B32",0
"Alchornea_100","P01","Saltator_maximus","B33",0
"Alchornea_100","P01","Tachyphonus_cristatus","B34",0
"Alchornea_100","P01","Tangara_arthus","B35",0
"Alchornea_100","P01","Tangara_chilensis","B36",2
"Alchornea_100","P01","Tangara_chrysotis","B37",0
"Alchornea_100","P01","Tangara_cyanicollis","B38",2
"Alchornea_100","P01","Tangara_gyrola","B39",2
"Alchornea_100","P01","Tangara_nigrocincta","B40",0
