"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Anisognathus_igniventris",0.16,15.6,10.6,34
"B02","Anisognathus_lacrymosus",0.28,12.4,9.8,31
"B03","Atlapetes_tricolor",0.12,16.5,9.8,36.5
"B04","Buthraupis_montana",0.21,21.7,13.3,87.08
"B05","Catamenia_inornata",0.16,9.5,6.9,13.4
"B06","Chlorornis_riefferii",0.16,19.7,12,53
"B07","Diglossa_humeralis",0.16,14.9,5.3,13.15
"B09","Dubusia_taeniata",0.13,20.1,11.5,37
"B10","Iridosornis_rufivertex",0.18,13.8,8.1,23
"B11","Myioborus_melanocephalus",0.15,14.1,6.6,11.3
"B12","Pipreola_arcuata",0.18,26.2,17.6,118
"B13","Tangara_vassorii",0.23,12.8,8,18
