"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Anisognathus_somptuosus",0.19,19,10.6,42
"B02","Aratinga_leucophthalma",0.39,21.8,16.1,158
"B03","Aulacorhynchus_derbianus",0.13,82,27.8,210
"B04","Catharus_ustulatus",0.32,19.8,9.5,30.3
"B05","Cephalopterus_ornatus",0.17,59.2,30.2,380
"B06","Chiroxiphia_boliviana",0.16,14.6,9.2,17.2
"B07","Chlorochrysa_calliparaea",0.24,14.7,7.5,17
"B08","Chlorophonia_cyanea",0.28,10.2,6.5,14
"B09","Chlorospingus_flavigularis",0.17,17,10.1,25.6
"B10","Chlorospingus_ophthalmicus",0.16,14.1,7.7,15.7
"B11","Chlorospingus_parvirostris",0.16,14.6,8.5,24
"B12","Colaptes_rubiginosus",0.23,28.1,11.2,65.4
"B13","Cyanerpes_caeruleus",0.23,17.6,6,12
"B14","Cyanocorax_yncas",0.08,29.7,15,78.5
"B15","Dacnis_cayana",0.25,16.3,7.7,13
"B16","Diglossa_caerulescens",0.16,15,6.3,14.5
"B17","Diglossa_cyanea",0.17,17.3,7.2,17.1
"B18","Diglossa_glauca",0.19,13.3,5.4,12
"B19","Elaenia_albiceps",0.23,15.9,8.4,15.5
"B20","Elaenia_pallatangae",0.21,13.1,7.1,17.8
"B21","Entomodestes_leucotis",0.21,23.9,12.9,61.7
"B22","Eubucco_versicolor",0.14,25.1,12.6,32.8
"B23","Euphonia_mesochrysa",0.21,11.2,7.4,13
"B24","Euphonia_xanthogaster",0.22,11.7,7.4,13
"B25","Iridophanes_pulcherrimus",0.26,14.8,7,15.3
"B26","Iridosornis_analis",0.16,14.6,8.4,26
"B27","Lepidothrix_coeruleocapilla",0.16,11.9,7.2,8.9
"B28","Lophotriccus_pileatus",0.13,13.3,7.6,8.1
"B29","Mionectes_striaticollis",0.15,15.6,8.8,15
"B30","Myadestes_ralloides",0.21,17.7,12,29.1
"B31","Ortalis_guttata",0.15,27.3,13.5,550
"B32","Patagioenas_plumbea",0.35,22.7,8.1,179
"B33","Penelope_montagnii",0.15,35.1,16.5,706
"B34","Pharomachrus_antisianus",0.42,27.1,21.8,153
"B35","Pharomachrus_auriceps",0.37,30.6,22.1,180
"B36","Pipreola_intermedia",0.16,20.9,13.5,51
"B37","Piranga_rubra",0.28,20.5,10.5,28.2
"B38","Psarocolius_angustifrons",0.25,50.3,17.3,218.5
"B39","Psarocolius_atrovirens",0.25,42.9,15.9,152
"B40","Ramphocelus_carbo",0.15,20.4,11.4,28
"B41","Rupicola_peruvianus",0.12,31.9,20.9,244
"B42","Saltator_maximus",0.18,22.7,13,47.7
"B43","Tangara_arthus",0.22,14.3,8.5,22
"B44","Tangara_chilensis",0.23,14.3,7.4,23
"B45","Tangara_chrysotis",0.26,15.3,8.2,24
"B46","Tangara_cyanicollis",0.22,13.5,7.7,17
"B47","Tangara_gyrola",0.2,14.3,7.7,21
"B48","Tangara_nigroviridis",0.23,12.1,7.8,17
"B49","Tangara_punctata",0.21,11.7,6.8,15
"B50","Tangara_ruficervix",0.24,12.8,7.6,19
"B51","Tangara_vassorii",0.23,12.8,8,18
"B52","Tangara_xanthocephala",0.22,12.9,7.3,19
"B53","Thraupis_bonariensis",0.2,16.7,11,36
"B54","Thraupis_cyanocephala",0.16,16.9,10.7,36
"B55","Thraupis_episcopus",0.23,17.5,10.2,35
"B56","Thraupis_palmarum",0.22,18.5,9.6,39
"B57","Trichothraupis_melanops",0.19,17,9.2,24.3
"B58","Trogon_personatus",0.37,21.2,16,63.4
"B59","Turdus_chiguanco",0.22,32.5,13.5,93.3
"B60","Xenopipo_unicolor",0.19,14.7,10,15.5
"B61","Zimmerius_bolivianus",0.14,11.3,6.5,11
