"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Bejaria_aestuans","P01","Ampelion_rubrocristatus","B01",0
"Bejaria_aestuans","P01","Andigena_hypoglauca","B02",0
"Bejaria_aestuans","P01","Anisognathus_igniventris","B03",0
"Bejaria_aestuans","P01","Aulacorhynchus_coeruleicinctis","B04",0
"Bejaria_aestuans","P01","Buthraupis_montana","B05",0
"Bejaria_aestuans","P01","Cacicus_chrysonotus","B06",0
"Bejaria_aestuans","P01","Chlorornis_riefferii","B07",0
"Bejaria_aestuans","P01","Diglossa_brunneiventris","B08",0
"Bejaria_aestuans","P01","Diglossa_cyanea","B09",1
"Bejaria_aestuans","P01","Diglossa_mystacalis","B10",0
"Bejaria_aestuans","P01","Diglossa_sittoides","B11",0
"Bejaria_aestuans","P01","Elaenia_albiceps","B12",0
"Bejaria_aestuans","P01","Elaenia_pallatangae","B13",0
"Bejaria_aestuans","P01","Iridosornis_jelskii","B14",0
"Bejaria_aestuans","P01","Mionectes_striaticollis","B15",0
"Bejaria_aestuans","P01","Patagioenas_fasciata","B16",0
"Bejaria_aestuans","P01","Penelope_montagnii","B17",0
"Bejaria_aestuans","P01","Pipreola_arcuata","B18",0
"Bejaria_aestuans","P01","Pipreola_intermedia","B19",0
"Bejaria_aestuans","P01","Tangara_nigroviridis","B20",0
"Bejaria_aestuans","P01","Tangara_vassorii","B21",1
"Bejaria_aestuans","P01","Thraupis_bonariensis","B22",0
"Bejaria_aestuans","P01","Thraupis_cyanocephala","B23",0
"Bejaria_aestuans","P01","Trogon_personatus","B24",0
"Bejaria_aestuans","P01","Turdus_fuscater","B25",0
"Bejaria_aestuans","P01","Turdus_serranus","B26",0
"Cavendishia_bracteata","P02","Ampelion_rubrocristatus","B01",0
"Cavendishia_bracteata","P02","Andigena_hypoglauca","B02",0
"Cavendishia_bracteata","P02","Anisognathus_igniventris","B03",0
"Cavendishia_bracteata","P02","Aulacorhynchus_coeruleicinctis","B04",0
"Cavendishia_bracteata","P02","Buthraupis_montana","B05",0
"Cavendishia_bracteata","P02","Cacicus_chrysonotus","B06",0
"Cavendishia_bracteata","P02","Chlorornis_riefferii","B07",4
