"","KippsIndex","BillWidth","Bodymass"
"B01",0.19,10.6,42
"B04",0.32,9.5,30.3
"B05",0.17,30.2,380
"B06",0.16,9.2,17.2
"B07",0.24,7.5,17
"B08",0.28,6.5,14
"B09",0.17,10.1,25.6
"B10",0.16,7.7,15.7
"B11",0.16,8.5,24
"B12",0.23,11.2,65.4
"B14",0.08,15,78.5
"B15",0.25,7.7,13
"B17",0.17,7.2,17.1
"B18",0.19,5.4,12
"B19",0.23,8.4,15.5
"B20",0.21,7.1,17.8
"B21",0.21,12.9,61.7
"B22",0.14,12.6,32.8
"B23",0.21,7.4,13
"B24",0.22,7.4,13
"B26",0.16,8.4,26
"B28",0.13,7.6,8.1
"B29",0.15,8.8,15
"B30",0.21,12,29.1
"B31",0.15,13.5,550
"B32",0.35,8.1,179
"B33",0.15,16.5,706
"B34",0.42,21.8,153
"B35",0.37,22.1,180
"B38",0.25,17.3,218.5
"B39",0.25,15.9,152
"B40",0.15,11.4,28
"B41",0.12,20.9,244
"B42",0.18,13,47.7
"B43",0.22,8.5,22
"B44",0.23,7.4,23
"B45",0.26,8.2,24
"B46",0.22,7.7,17
"B47",0.2,7.7,21
"B48",0.23,7.8,17
"B49",0.21,6.8,15
"B50",0.24,7.6,19
"B51",0.23,8,18
"B52",0.22,7.3,19
"B53",0.2,11,36
"B54",0.16,10.7,36
"B55",0.23,10.2,35
"B56",0.22,9.6,39
"B57",0.19,9.2,24.3
"B58",0.37,16,63.4
"B59",0.22,13.5,93.3
"B60",0.19,10,15.5
"B61",0.14,6.5,11
